Title,Author,Rating,Image Source
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.84,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267i/968.jpg
Memoirs of a Geisha,Arthur Golden,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929.jpg
The Picture of Dorian Gray,Oscar Wilde,4.08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297.jpg
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872220i/24213.jpg
Jane Eyre,Charlotte Brontë,4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210.jpg
Les Misérables,Victor Hugo,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280.jpg
"Divergent (Divergent, #1)",Veronica Roth,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328559506i/13335037.jpg
Fahrenheit 451,Ray Bradbury,3.99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982.jpg
Romeo and Juliet,William Shakespeare,3.74,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572098085i/18135.jpg
Lord of the Flies,William Golding,3.68,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624.jpg
The Alchemist,Paulo Coelho,3.87,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542i/18144590.jpg
Crime and Punishment,Fyodor Dostoyevsky,4.21,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144.jpg
The Perks of Being a Wallflower,Stephen Chbosky,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520093244i/22628.jpg
The Great Gatsby,F. Scott Fitzgerald,3.92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560i/4671.jpg
"Ender's Game (Ender's Saga, #1)",Orson Scott Card,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802.jpg
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683.jpg
The Help,Kathryn Stockett,4.47,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572940430i/4667024.jpg
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390789015i/8127.jpg
Charlotte's Web,E.B. White,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439632243i/24178.jpg
The Time Traveler's Wife,Audrey Niffenegger,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571i/18619684.jpg
Of Mice and Men,John Steinbeck,3.87,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890.jpg
The Little Prince,Antoine de Saint-Exupéry,4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg
Dracula,Bram Stoker,3.99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245.jpg
Brave New World,Aldous Huxley,3.99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3.jpg
One Hundred Years of Solitude,Gabriel García Márquez,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320.jpg
The Princess Bride,William Goldman,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787.jpg
The Catcher in the Rye,J.D. Salinger,3.8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg
The Secret Garden,Frances Hodgson Burnett,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998.jpg
A Thousand Splendid Suns,Khaled Hosseini,4.37,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345958969i/128029.jpg
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273.jpg
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.25,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187.jpg
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496.jpg
The Adventures of Huckleberry Finn,Mark Twain,3.82,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956.jpg
The Lovely Bones,Alice Sebold,3.81,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938.jpg
Where the Wild Things Are,Maurice Sendak,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543.jpg
The Outsiders,S.E. Hinton,4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804.jpg
Green Eggs and Ham,Dr. Seuss,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468680100i/23772.jpg
The Odyssey,Homer,3.76,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285i/1381.jpg
Life of Pi,Yann Martel,3.91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320562005i/4214.jpg
A Tale of Two Cities,Charles Dickens,3.84,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953.jpg
Water for Elephants,Sara Gruen,4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494428973i/43641.jpg
Lolita,Vladimir Nabokov,3.89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604.jpg
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981.jpg
Frankenstein,Mary Wollstonecraft Shelley,3.8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498841231i/35031085.jpg
The Kite Runner,Khaled Hosseini,4.29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203.jpg
"Catch-22 (Catch-22, #1)",Joseph Heller,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668.jpg
"The Giver (The Giver, #1)",Lois Lowry,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636.jpg
The Handmaid's Tale,Margaret Atwood,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg
"Dune (Dune, #1)",Frank Herbert,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458.jpg
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043.jpg
The Stand,Stephen King,4.34,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213131305i/149267.jpg
The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590.jpg
"Watership Down (Watership Down, #1)",Richard  Adams,4.06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405136931i/76620.jpg
Great Expectations,Charles Dickens,3.77,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327920219i/2623.jpg
One Flew Over the Cuckoo's Nest,Ken Kesey,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613.jpg
The Bell Jar,Sylvia Plath,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514.jpg
Anna Karenina,Leo Tolstoy,4.05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546091617i/15823480.jpg
My Sister's Keeper,Jodi Picoult,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369504683i/10917.jpg
"Outlander (Outlander, #1)",Diana Gabaldon,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529065012i/10964.jpg
Little Women,Louisa May Alcott,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934.jpg
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566i/2429135.jpg
Matilda,Roald Dahl,4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388793265i/39988.jpg
Rebecca,Daphne du Maurier,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169i/17899948.jpg
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298411339i/34.jpg
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474171184i/136251.jpg
The Color Purple,Alice Walker,4.21,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572261616l/52892857._SX5.jpg
A Tree Grows in Brooklyn,Betty  Smith,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484i/14891.jpg
A Clockwork Orange,Anthony Burgess,3.99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486.jpg
The Road,Cormac McCarthy,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439197219i/6288.jpg
The Brothers Karamazov,Fyodor Dostoyevsky,4.32,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934.jpg
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348317139i/252577.jpg
1984,George Orwell,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427.jpg
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098973i/345627.jpg
The Poisonwood Bible,Barbara Kingsolver,4.06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1412242487i/7244.jpg
Siddhartha,Hermann Hesse,4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428715580i/52036.jpg
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322.jpg
Don Quixote,Miguel de Cervantes Saavedra,3.87,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546112331i/3836.jpg
Atlas Shrugged,Ayn Rand,3.69,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405868167i/662.jpg
The Old Man and the Sea,Ernest Hemingway,3.77,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165.jpg
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483183484i/33648131.jpg
The Complete Stories and Poems,Edgar Allan Poe,4.39,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942676i/23919.jpg
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.35,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107.jpg
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.56,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1499277281i/5.jpg
A Prayer for Owen Meany,John Irving,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1260470010i/4473.jpg
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,3.99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380631642i/43763.jpg
"Moby-Dick or, the Whale",Herman Melville,3.5,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327940656i/153747.jpg
The Red Tent,Anita Diamant,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405739117i/4989.jpg
The Secret Life of Bees,Sue Monk Kidd,4.05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473454532i/37435.jpg
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.33,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454962884i/7171637.jpg
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.56,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554006152i/6.jpg
Middlesex,Jeffrey Eugenides,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437029776i/2187.jpg
And Then There Were None,Agatha Christie,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391120695i/16299.jpg
The Stranger,Albert Camus,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349927872i/49552.jpg
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1156039812i/1.jpg
The Master and Margarita,Mikhail Bulgakov,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867963i/117833.jpg
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.54,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515589515i/186074.jpg
The Shining,Stephen King,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353277730i/11588.jpg
The Adventures of Tom Sawyer,Mark Twain,3.91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404811979i/24583.jpg
Eragon (The Inheritance Cycle #1),Christopher Paolini,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366212852i/113436.jpg
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309211401i/6310.jpg
On the Road,Jack Kerouac,3.62,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413588576i/70401.jpg
Flowers for Algernon,Daniel Keyes,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510416245i/36576608.jpg
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583994070i/1232.jpg
Looking for Alaska,John Green,4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394798630i/99561.jpg
The Metamorphosis,Franz Kafka,3.81,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359061917i/485894.jpg
The Very Hungry Caterpillar,Eric Carle,4.29,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517550266i/4948.jpg
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479863624i/1618.jpg
Tuesdays with Morrie,Mitch Albom,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423763749i/6900.jpg
The Unbearable Lightness of Being,Milan Kundera,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265401884i/9717.jpg
The Name of the Rose,Umberto Eco,4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415375471i/119073.jpg
Where the Red Fern Grows,Wilson Rawls,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518702249i/10365.jpg
The Scarlet Letter,Nathaniel Hawthorne,3.4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404810944i/12296.jpg
The Godfather,Mario Puzo,4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394988109i/22034.jpg
In Cold Blood,Truman Capote,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424931136i/168642.jpg
Fight Club,Chuck Palahniuk,4.19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558216416i/36236124.jpg
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664.jpg
The Five People You Meet in Heaven,Mitch Albom,3.93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541i/3431.jpg
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.42,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725i/15881.jpg
Lonesome Dove,Larry McMurtry,4.49,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559668037i/256008.jpg
The Cat in the Hat,Dr. Seuss,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093.jpg
"American Gods (American Gods, #1)",Neil Gaiman,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462924585i/30165203.jpg
"Holes (Holes, #1)",Louis Sachar,3.96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552422497i/38709.jpg
The Count of Monte Cristo,Alexandre Dumas,4.25,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309203605i/7126.jpg
It,Stephen King,4.24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334416842i/830502.jpg
Watchmen,Alan Moore,4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442239711i/472331.jpg
Perfume: The Story of a Murderer,Patrick Süskind,4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409112276i/343.jpg
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353029077i/100915.jpg
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.34,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577932823i/114345.jpg
Peter Pan,J.M. Barrie,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337714526i/34268.jpg
The Divine Comedy,Dante Alighieri,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390760180i/6656.jpg
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.51,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1519022209i/4556058.jpg
All Quiet on the Western Front,Erich Maria Remarque,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441227765i/355697.jpg
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.44,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347579233i/1423.jpg
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361099049i/2802316.jpg
Love in the Time of Cholera,Gabriel García Márquez,3.92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536376800i/9712.jpg
A Walk to Remember,Nicholas Sparks,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498755310i/35545737.jpg
"Insurgent (Divergent, #2)",Veronica Roth,4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325667729i/11735983.jpg
The Thorn Birds,Colleen McCullough,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548530867i/3412.jpg
"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907.jpg
How the Grinch Stole Christmas!,Dr. Seuss,4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327958149i/113946.jpg
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.37,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13.jpg
"Eat, Pray, Love",Elizabeth Gilbert,3.56,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414i/19501.jpg
Atonement,Ian McEwan,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320449708i/6867.jpg
The Importance of Being Earnest,Oscar Wilde,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298438452i/92303.jpg
Their Eyes Were Watching God,Zora Neale Hurston,3.91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368072803i/37415.jpg
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,3.99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398003737i/236093.jpg
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.28,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098960i/2282133.jpg
"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320436982i/7190.jpg
Goodnight Moon,Margaret Wise Brown,4.28,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439223893i/32929.jpg
The Lorax,Dr. Seuss,4.35,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327879938i/7784.jpg
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.34,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442530605i/5996153.jpg
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392528568i/12067.jpg
"The Good Earth (House of Earth, #1)",Pearl S. Buck,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312497600i/1078.jpg
Tess of the D'Urbervilles,Thomas Hardy,3.8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434302708i/32261.jpg
Heart of Darkness,Joseph Conrad,3.42,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392799983i/4900.jpg
The Prophet,Kahlil Gibran,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355046521i/2547.jpg
A Midsummer Night's Dream,William Shakespeare,3.94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327874534i/1622.jpg
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529610467i/40605251.jpg
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.39,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518607478i/2120932.jpg
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.58,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436788488i/18335634.jpg
The Joy Luck Club,Amy Tan,3.92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586662847i/7763.jpg
Alice in Wonderland,Jane Carruth,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391458382i/13023.jpg
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602661i/28186.jpg
Jonathan Livingston Seagull,Richard Bach,3.84,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432222358i/71728.jpg
The Call of the Wild,Jack London,3.87,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452291694i/1852.jpg
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.35,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038385i/561456.jpg
Madame Bovary,Gustave Flaubert,3.67,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335676143i/2175.jpg
The Phantom Tollbooth,Norton Juster,4.21,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558858485i/378.jpg
Bridge to Terabithia,Katherine Paterson,4,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532478367i/40940121.jpg
"Oh, the Places You'll Go!",Dr. Seuss,4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421708635i/191139.jpg
"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,4.24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881i/5060378.jpg
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.48,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360094673i/7938275.jpg
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375596592i/6186357.jpg
Oliver Twist,Charles Dickens,3.86,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868529i/18254.jpg
Ulysses,James Joyce,3.73,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1428891345i/338798.jpg
The Neverending Story,Michael Ende,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554230952i/27712.jpg
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843i/10818853.jpg
