id,title,year,genre,stars,rating,duration,img_src,YT_link
20,Suits,2011,"Comedy, Drama","['Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty']",8.3,44,"""https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg""",85z53bAebsI
21,Homeland,2011,"Crime, Drama, Mystery","['Mandy Patinkin', 'Damian Lewis', 'Rupert Friend']",8.6,55,"""https://m.media-amazon.com/images/M/MV5BYjY2ODA0NjYtMzlkMi00ZjY5LThiNjUtNzZjYzgxNjc0MzQzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",KyFmS3wRPCQ
22,The Newsroom,2012,Drama,"['Emily Mortimer', 'John Gallagher Jr.', 'Alison Pill']",8.5,55,"""https://m.media-amazon.com/images/M/MV5BZDI0OWIwMTgtZGIyOC00ODRhLWIwNjAtOWViZmMwOWYwOGViXkEyXkFqcGdeQXVyNTE1NjY5Mg@@.jpg""",lB944ODCK24
23,Community,2009,Comedy,"['Danny Pudi', 'Donald Glover', 'Chevy Chase']",8.5,22,"""https://m.media-amazon.com/images/M/MV5BNDQ5NDZiYjktZmFmMy00MjAxLTk1MDktOGZjYTY5YTE1ODdmXkEyXkFqcGdeQXVyNjcwMzEzMTU@.jpg""",C4W4L9TLJa8
24,Coupling,2000,"Comedy, Romance","['Gina Bellman', 'Sarah Alexander', 'Kate Isitt']",8.7,30,"""https://m.media-amazon.com/images/M/MV5BMTQzMDk1ODI2M15BMl5BanBnXkFtZTYwNjMyNDk4.jpg""",hstPHM3R1dY
25,House of Cards,2013,Drama,"['Michel Gill', 'Robin Wright', 'Kate Mara']",8.6,51,"""https://m.media-amazon.com/images/M/MV5BODM1MDU2NjY5NF5BMl5BanBnXkFtZTgwMDkxNTcwNjM@.jpg""",SvSkxBYuoQY
26,Justified,2010,"Action, Crime, Drama","['Nick Searcy', 'Joelle Carter', 'Jacob Pitts']",8.5,44,"""https://m.media-amazon.com/images/M/MV5BMTgzNjQ4NjM1NF5BMl5BanBnXkFtZTcwNzQ4OTEzNw@@.jpg""",i7Fo0-2AETQ
27,Breaking Bad,2008,"Crime, Drama, Thriller","['Aaron Paul', 'Anna Gunn', 'Betsy Brandt']",9.5,49,"""https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg""",HhesaQXLuRY
28,Game of Thrones,2011,"Action, Adventure, Drama","['Peter Dinklage', 'Kit Harington', 'Lena Headey']",9.3,57,"""https://m.media-amazon.com/images/M/MV5BYTRiNDQwYzAtMzVlZS00NTI5LWJjYjUtMzkwNTUzMWMxZTllXkEyXkFqcGdeQXVyNDIzMzcwNjc@.jpg""",rlR4PJn8b8I
29,Chernobyl,2019,"Drama, History, Thriller","['Jared Harris', 'Stellan Skarsgård', 'Adam Nagaitis']",9.4,330,"""https://m.media-amazon.com/images/M/MV5BZGQ2YmMxZmEtYjI5OS00NzlkLTlkNTEtYWMyMzkyMzc2MDU5XkEyXkFqcGdeQXVyMzQ2MDI5NjU@.jpg""",s9APLXM9Ei8
30,Band of Brothers,2001,"Action, Drama, History","['Damian Lewis', 'Ron Livingston', 'Shane Taylor']",9.4,594,"""https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3.jpg""",kyDkHvi9yeI
31,Sherlock,2010,"Crime, Drama, Mystery","['Martin Freeman', 'Una Stubbs', 'Rupert Graves']",9.1,88,"""https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@.jpg""",xK7S9mrFWL4
32,The Wire,2002,"Crime, Drama, Thriller","['Lance Reddick', 'Sonja Sohn', 'Wendell Pierce']",9.3,59,"""https://m.media-amazon.com/images/M/MV5BZmY5ZDMxODEtNWIwOS00NjdkLTkyMjktNWRjMDhmYjJjN2RmXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",9qK-VGjMr8g
33,Rick and Morty,2013,"Animation, Adventure, Comedy","['Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",9.2,23,"""https://m.media-amazon.com/images/M/MV5BMjRiNDRhNGUtMzRkZi00MThlLTg0ZDMtNjc5YzFjYmFjMmM4XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@.jpg""",WNhH00OIPP0
34,Friends,1994,"Comedy, Romance","['Courteney Cox', 'Lisa Kudrow', 'Matt LeBlanc']",8.9,22,"""https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",hDNNmeeJs1Q
35,The Sopranos,1999,"Crime, Drama","['Lorraine Bracco', 'Edie Falco', 'Michael Imperioli']",9.2,55,"""https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg""",u9qpFgAa52U
36,True Detective,2014,"Crime, Drama, Mystery","['Colin Farrell', 'Rachel McAdams', 'Taylor Kitsch']",8.8,55,"""https://m.media-amazon.com/images/M/MV5BMTUwMGM2ZmYtZGEyZC00OWQyLWI2Y2QtMTdjYzMxZGJmNjhjXkEyXkFqcGdeQXVyNjU2ODM5MjU@.jpg""",fVQUcaO4AvE
37,Stranger Things,2016,"Drama, Fantasy, Horror","['Finn Wolfhard', 'Winona Ryder', 'David Harbour']",9.2,51,"""https://m.media-amazon.com/images/M/MV5BZGExYjQzNTQtNGNhMi00YmY1LTlhY2MtMTRjODg3MjU4YTAyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",mnd7sFt5c3A
38,Avatar: The Last Airbender,2005,"Animation, Action, Adventure","['Zach Tyler', 'Jack De Sena', 'Mae Whitman']",8.9,23,"""https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@.jpg""",T5VuejTZdGY
39,The Office,2005,Comedy,"['Jenna Fischer', 'John Krasinski', 'Rainn Wilson']",8.9,22,"""https://m.media-amazon.com/images/M/MV5BMDNkOTE4NDQtMTNmYi00MWE0LWE4ZTktYTc0NzhhNWIzNzJiXkEyXkFqcGdeQXVyMzQ2MDI5NjU@.jpg""",jz1omRneAGg
40,Firefly,2002,"Adventure, Drama, Sci-Fi","['Gina Torres', 'Alan Tudyk', 'Morena Baccarin']",8.8,44,"""https://m.media-amazon.com/images/M/MV5BOTcwNzkwMDItZmM1OC00MmQ2LTgxYjgtOTNiNDgxZDAxMjk0XkEyXkFqcGdeQXVyNDQ0MTYzMDA@.jpg""",mEx6UpiIKM4
41,Fargo,2014,"Crime, Drama, Thriller","['Martin Freeman', 'Allison Tolman', 'Colin Hanks']",8.6,53,"""https://m.media-amazon.com/images/M/MV5BNTUyYjZiOTQtY2VhZC00MzdhLWJlNzctZjQyYjk1ZTZmOTZiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",gKs8DzjPDMU
42,Black Mirror,2011,"Drama, Sci-Fi, Thriller","['Hannah John-Kamen', 'Michaela Coel', 'Beatrice Robertson-Jones']",8.7,60,"""https://m.media-amazon.com/images/M/MV5BYTM3YWVhMDMtNjczMy00NGEyLWJhZDctYjNhMTRkNDE0ZTI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",nSDviEdvw4U
43,Death Note: Desu nôto,2006,"Animation, Crime, Drama","['Brad Swaile', 'Vincent Tong', 'Ryô Naitô']",8.8,24,"""https://m.media-amazon.com/images/M/MV5BODkzMjhjYTQtYmQyOS00NmZlLTg3Y2UtYjkzN2JkNmRjY2FhXkEyXkFqcGdeQXVyNTM4MDQ5MDc@.jpg""",gvxNaSIB_WI
44,Dexter,2006,"Crime, Drama, Mystery","['Jennifer Carpenter', 'David Zayas', 'James Remar']",8.7,53,"""https://m.media-amazon.com/images/M/MV5BMTM5MjkwMTI0MV5BMl5BanBnXkFtZTcwODQwMTc0OQ@@.jpg""",YQeUmSD1c3g
45,House of Cards,2013,Drama,"['Michel Gill', 'Robin Wright', 'Kate Mara']",8.7,51,"""https://m.media-amazon.com/images/M/MV5BODM1MDU2NjY5NF5BMl5BanBnXkFtZTgwMDkxNTcwNjM@.jpg""",SvSkxBYuoQY
46,Narcos,2015,"Biography, Crime, Drama","['Wagner Moura', 'Boyd Holbrook', 'Alberto Ammann']",8.8,49,"""https://m.media-amazon.com/images/M/MV5BNmFjODU3YzgtMGUwNC00ZGI3LWFkZjQtMjkxZDc3NmQ1MzcyXkEyXkFqcGdeQXVyNjUwNzk3NDc@.jpg""",xl8zdCY-abw
47,House M.D.,2004,"Drama, Mystery","['Omar Epps', 'Robert Sean Leonard', 'Jesse Spencer']",8.7,44,"""https://m.media-amazon.com/images/M/MV5BMDA4NjQzN2ItZDhhNC00ZjVlLWFjNTgtMTEyNDQyOGNjMDE1XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",64LGOCKxTdE
48,Westworld,2016,"Drama, Mystery, Sci-Fi","['Jeffrey Wright', 'Ed Harris', 'Thandie Newton']",8.8,62,"""https://m.media-amazon.com/images/M/MV5BMTRmYzNmOTctZjMwOS00ODZlLWJiZGQtNDg5NDY5NjE3MTczXkEyXkFqcGdeQXVyMDM2NDM2MQ@@.jpg""",qLFBcdd6Qw0
49,Peaky Blinders,2013,"Crime, Drama","['Paul Anderson', 'Helen McCrory', 'Sophie Rundle']",8.7,60,"""https://m.media-amazon.com/images/M/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@.jpg""",oVzVdvGIC7U
50,The Simpsons,1989,"Animation, Comedy","['Nancy Cartwright', 'Harry Shearer', 'Julie Kavner']",9.1,22,"""https://m.media-amazon.com/images/M/MV5BYjFkMTlkYWUtZWFhNy00M2FmLThiOTYtYTRiYjVlZWYxNmJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@.jpg""",XPG0MqIcby8
51,Seinfeld,1989,Comedy,"['Julia Louis-Dreyfus', 'Michael Richards', 'Jason Alexander']",8.6,22,"""https://m.media-amazon.com/images/M/MV5BZjZjMzQ2ZmUtZWEyZC00NWJiLWFjM2UtMzhmYzZmZDcxMzllXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",SOsbYJ4CfTA
52,South Park,1997,"Animation, Comedy","['Matt Stone', 'Isaac Hayes', 'Mona Marshall']",8.7,22,"""https://m.media-amazon.com/images/M/MV5BOGE2YWUzMDItNTg2Ny00NTUzLTlmZGYtNWMyNzVjMjQ3MThkXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",bkZHv-9e2ro
53,Hagane no renkinjutsushi,2009,"Animation, Action, Adventure","['Iemasa Kayumi', 'Vic Mignogna', 'Muriel Hofmann']",8.7,24,"""https://m.media-amazon.com/images/M/MV5BZmEzN2YzOTItMDI5MS00MGU4LWI1NWQtOTg5ZThhNGQwYTEzXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",asTxh9kuEvE
54,Vikings,2013,"Action, Adventure, Drama","['Gustaf Skarsgård', 'Alexander Ludwig', 'Georgia Hirst']",8.6,44,"""https://m.media-amazon.com/images/M/MV5BNjIzZjljZmQtOGNiYi00YmY2LWE1MGYtN2VlMmEyZDBlMzRmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",f5av6OqFwz0
55,Better Call Saul,2015,"Crime, Drama","['Rhea Seehorn', 'Jonathan Banks', 'Patrick Fabian']",9.1,46,"""https://m.media-amazon.com/images/M/MV5BMGE4YzY4NGEtOWYyYS00ZDk2LWExMmMtZDIyODhiMmNlMGE0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",HN4oydykJFc
56,Arrested Development,2003,Comedy,"['Michael Cera', 'Portia de Rossi', 'Will Arnett']",8.8,22,"""https://m.media-amazon.com/images/M/MV5BNTFlYTE2YTItZmQ1NS00ZWQ5LWI3OGUtYTQzNDMyZmEyYTZjXkEyXkFqcGdeQXVyNDg4NjY5OTQ@.jpg""",vzVhPCMAxWQ
57,Daredevil,2015,"Action, Crime, Drama","[""Vincent D'Onofrio"", 'Deborah Ann Woll', 'Elden Henson']",8.8,54,"""https://m.media-amazon.com/images/M/MV5BODcwOTg2MDE3NF5BMl5BanBnXkFtZTgwNTUyNTY1NjM@.jpg""",NULL
58,Leyla ile Mecnun,2011,"Adventure, Comedy, Drama","['Ahmet Mümtaz Taylan', 'Serkan Keskin', 'Osman Sonant']",8.5,80,"""https://m.media-amazon.com/images/M/MV5BMzE1YjMzZGItZTkwOS00ZmY3LWEzYmMtODM0OWVhNGU2MDkxXkEyXkFqcGdeQXVyNTY3OTUwODg@.jpg""",0ZfZj2bn_xg
59,It's Always Sunny in Philadelphia,2005,Comedy,"['Glenn Howerton', 'Rob McElhenney', 'Kaitlin Olson']",8.6,22,"""https://m.media-amazon.com/images/M/MV5BOTExNGZkMWMtMmIwZC00YjA3LTgwM2ItZjQ2YmZkMzQ1YWZkXkEyXkFqcGdeQXVyMzQ2MDI5NjU@.jpg""",_NLmdNUwkWc
60,Twin Peaks,1990,"Crime, Drama, Mystery","['Michael Ontkean', 'Mädchen Amick', 'Dana Ashbrook']",8.8,47,"""https://m.media-amazon.com/images/M/MV5BMTExNzk2NjcxNTNeQTJeQWpwZ15BbWU4MDcxOTczOTIx.jpg""",q040A3z1W08
61,Suits,2011,"Comedy, Drama","['Patrick J. Adams', 'Meghan Markle', 'Sarah Rafferty']",8.2,44,"""https://m.media-amazon.com/images/M/MV5BNmVmMmM5ZmItZDg0OC00NTFiLWIxNzctZjNmYTY5OTU3ZWU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg""",85z53bAebsI
62,Sons of Anarchy,2008,"Crime, Drama, Thriller","['Katey Sagal', 'Mark Boone Junior', 'Kim Coates']",8.5,45,"""https://m.media-amazon.com/images/M/MV5BMTEyODg2NzkwMDBeQTJeQWpwZ15BbWU4MDQwODI3MzIx.jpg""",ia4cggzpqYQ
63,Shingeki no kyojin,2013,"Animation, Action, Adventure","['Yûki Kaji', 'Yui Ishikawa', 'Josh Grelle']",8.3,24,"""https://m.media-amazon.com/images/M/MV5BMTY5ODk1NzUyMl5BMl5BanBnXkFtZTgwMjUyNzEyMTE@.jpg""",B-yhF7IScUE
64,Batman: The Animated Series,1992,"Animation, Action, Adventure","['Loren Lester', 'Efrem Zimbalist Jr.', 'Bob Hastings']",9.2,23,"""https://m.media-amazon.com/images/M/MV5BOTM3MTRkZjQtYjBkMy00YWE1LTkxOTQtNDQyNGY0YjYzNzAzXkEyXkFqcGdeQXVyOTgwMzk1MTA@.jpg""",OxGGaFhKEOM
65,The Walking Dead,2010,"Drama, Horror, Thriller","['Norman Reedus', 'Melissa McBride', 'Danai Gurira']",8.7,44,"""https://m.media-amazon.com/images/M/MV5BYTUwOTM3ZGUtMDZiNy00M2I3LWI1ZWEtYzhhNGMyZjI3MjBmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",sfAc2U20uyg
66,Mr. Robot,2015,"Crime, Drama, Thriller","['Christian Slater', 'Carly Chaikin', 'Martin Wallström']",8.8,49,"""https://m.media-amazon.com/images/M/MV5BMzgxMmQxZjQtNDdmMC00MjRlLTk1MDEtZDcwNTdmOTg0YzA2XkEyXkFqcGdeQXVyMzQ2MDI5NjU@.jpg""",xIBiJ_SzJTA
67,How I Met Your Mother,2005,"Comedy, Romance","['Jason Segel', 'Cobie Smulders', 'Neil Patrick Harris']",8.7,22,"""https://m.media-amazon.com/images/M/MV5BZWJjMDEzZjUtYWE1Yy00M2ZiLThlMmItODljNTAzODFiMzc2XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",JlhveYg7h0k
68,TVF Pitchers,2015,"Comedy, Drama","['Arunabh Kumar', 'Jitendra Kumar', 'Abhay Mahajan']",8.4,40,"""https://m.media-amazon.com/images/M/MV5BMjQwNTQ5MjAxNF5BMl5BanBnXkFtZTgwNTU0MDA3NjE@.jpg""",xcUHB9n8Kws
69,Dark,2017,"Crime, Drama, Mystery","['Louis Hofmann', 'Jördis Triebel', 'Maja Schöne']",8.7,60,"""https://m.media-amazon.com/images/M/MV5BMmIyZjA3NGUtYjlhNS00ZDlkLWI0MDgtMDc2YWNjNGMwYWZhXkEyXkFqcGdeQXVyMzY0MTE3NzU@.jpg""",rrwycJ08PSA
70,Freaks and Geeks,1999,"Comedy, Drama","['John Francis Daley', 'James Franco', 'Samm Levine']",8.7,44,"""https://m.media-amazon.com/images/M/MV5BZWJhOGFiZWMtYTY5Ni00NGU1LWE5OWItNzA5NThkNWUwYzc4XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",Zc_TB41SLk4
71,The Mandalorian,2019,"Action, Adventure, Sci-Fi","['Carl Weathers', 'Rio Hackford', 'Gina Carano']",8.7,30,"""https://m.media-amazon.com/images/M/MV5BMWI0OTJlYTItNzMwZi00YzRiLWJhMjItMWRlMDNhZjNiMzJkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",_YMh_SLnNIg
72,Supernatural,2005,"Drama, Fantasy, Horror","['Jensen Ackles', 'Jim Beaver', 'Misha Collins']",8.6,44,"""https://m.media-amazon.com/images/M/MV5BMTJhM2VhZDItMTk4OS00MTRjLTlmMDQtNzEyYmM0NDA0YjhjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",t-775JyzDTk
73,Downton Abbey,2010,"Drama, Romance","['Phyllis Logan', 'Elizabeth McGovern', 'Brendan Coyle']",8.6,58,"""https://m.media-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",EOM3y4P8TEM
74,Rome,2005,"Action, Drama, History","['Ray Stevenson', 'Polly Walker', 'Kerry Condon']",8.3,52,"""https://m.media-amazon.com/images/M/MV5BYTM4MmU1NWYtNzJjYy00YWFhLThjOGEtZmMxOGI1NzE0NGNiXkEyXkFqcGdeQXVyNDIzMzcwNjc@.jpg""",2s1RoX1OeC0
75,Battlestar Galactica,2004,"Action, Adventure, Drama","['Mary McDonnell', 'Jamie Bamber', 'James Callis']",8.6,44,"""https://m.media-amazon.com/images/M/MV5BZjBjMjk4YWQtZjY1MC00NTI5LWEwZDMtYWMyYjk2MjkzMThhXkEyXkFqcGdeQXVyNzA5NjUyNjM@.jpg""",q2x14ZhEc9k
76,Parks and Recreation,2009,Comedy,"[""Jim O'Heir"", 'Nick Offerman', 'Chris Pratt']",8.6,22,"""https://m.media-amazon.com/images/M/MV5BMjA5MjUxNDgwNF5BMl5BanBnXkFtZTgwMDI5NjMwNDE@.jpg""",9djCOPHOvOw
77,Mad Men,2007,Drama,"['Elisabeth Moss', 'Vincent Kartheiser', 'January Jones']",8.7,47,"""https://m.media-amazon.com/images/M/MV5BMjMwNzk5Nzg2OV5BMl5BanBnXkFtZTgwMjg1OTk1NDE@.jpg""",xUHlMgJxF30
78,Lost,2004,"Adventure, Drama, Fantasy","['Josh Holloway', 'Yunjin Kim', 'Evangeline Lilly']",8.6,44,"""https://m.media-amazon.com/images/M/MV5BNzhlY2E5NDUtYjJjYy00ODg3LWFkZWQtYTVmMzU4ZWZmOWJkXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",KTu8iDynwNc
79,Doctor Who,2005,"Adventure, Drama, Family","['Peter Capaldi', 'Pearl Mackie', 'Matt Smith']",8.6,45,"""https://m.media-amazon.com/images/M/MV5BZWJhYjFmZDEtNTVlYy00NGExLWJhZWItNTAxODY5YTc3MDFmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@.jpg""",MLn1IuAyKaI
80,The Twilight Zone,1959,"Drama, Fantasy, Horror","['Robert McCord', 'Jay Overholts', 'Vaughn Taylor']",8.7,51,"""https://m.media-amazon.com/images/M/MV5BNTAzMDI5MzgtMGNkMC00MzllLWJhNjctNjA1NmViNGUxMzYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg""",29_gA_GDGvE
81,The X Files,1993,"Crime, Drama, Mystery","['Gillian Anderson', 'Mitch Pileggi', 'William B. Davis']",8.3,45,"""https://m.media-amazon.com/images/M/MV5BZDA0MmM4YzUtMzYwZC00OGI2LWE0ODctNzNhNTkwN2FmNTVhXkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg""",_HTByz4RlqI
82,The Haunting of Hill House,2018,"Drama, Horror, Mystery","['Oliver Jackson-Cohen', 'Kate Siegel', 'Victoria Pedretti']",8.9,50,"""https://m.media-amazon.com/images/M/MV5BMTU4NzA4MDEwNF5BMl5BanBnXkFtZTgwMTQxODYzNjM@.jpg""",Ce0RQq-rjPk
