id,title,author,rating,img_src,genre
34,"The World of Winnie-the-Pooh (Winnie-the-Pooh, #1-2)",A.A. Milne,4.43,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348200401i/99111.jpg,Children
35,The Stinky Cheese Man and Other Fairly Stupid Tales,Jon Scieszka,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488588399i/407429.jpg,Children
36,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1.jpg,Children
37,"Five on a Treasure Island (Famous Five, #1)",Enid Blyton,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408926754i/17488.jpg,Children
38,"The Dark Is Rising (The Dark is Rising, #2)",Susan Cooper,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349051230i/210329.jpg,Children
39,Malory Towers Boxset (6 Books),Enid Blyton,4.35,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353150602i/1040299.jpg,Children
40,"My Father's Dragon (My Father's Dragon, #1)",Ruth Stiles Gannett,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438398138i/34898.jpg,Children
41,King of the Wind: The Story of the Godolphin Arabian,Marguerite Henry,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329982839i/423156.jpg,Children
42,Where's Waldo? The Fantastic Journey,Martin Handford,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320537085i/391805.jpg,Children
43,The Hidden Staircase (Nancy Drew Mystery Stories #2),Carolyn Keene,3.96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172964121i/233637.jpg,Children
44,Eloise,Kay Thompson,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348009989i/782854.jpg,Children
45,The Count of Monte Cristo,Alexandre Dumas,4.25,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309203605i/7126.jpg,Children
46,"Summer of My German Soldier (Summer of My German Soldier, #1)",Bette Greene,3.68,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1166975959i/18580.jpg,Children
47,The Ugly Duckling,Hans Christian Andersen,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381355973i/122967.jpg,Children
48,"Dear Mr. Henshaw (Leigh Botts, #1)",Beverly Cleary,3.74,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556608149i/105999.jpg,Children
49,The Brothers Lionheart,Astrid Lindgren,4.37,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388269738i/19312.jpg,Children
50,The Incredible Journey,Sheila Burnford,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388607402i/231821.jpg,Children
51,Maniac Magee,Jerry Spinelli,3.88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395884800i/139463.jpg,Children
52,Christy,Catherine Marshall,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389406901i/229123.jpg,Children
53,A Child's Garden of Verses,Robert Louis Stevenson,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401644174i/20413.jpg,Children
54,The Saggy Baggy Elephant,Kathryn Jackson,4.08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320481063i/825576.jpg,Children
55,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11.jpg,Children
56,The Secret of the Mansion,Julie Campbell,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388204528i/183116.jpg,Children
57,"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,3.96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1336139237i/65641.jpg,Children
58,Horton Hatches the Egg,Dr. Seuss,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408927129i/11301.jpg,Children
59,"Junie B. Jones and the  Stupid Smelly Bus (Junie B. Jones, #1)",Barbara Park,3.94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583400911i/958277.jpg,Children
60,"Asterix the Gaul (Asterix, #1)",René Goscinny,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433174923i/71292.jpg,Children
61,Gnomes,Wil Huygen,4.01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463189122i/926908.jpg,Children
62,"Swallows and Amazons (Swallows and Amazons, #1)",Arthur Ransome,4.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1277148503i/125190.jpg,Children
63,"Ramona and Her Mother (Ramona Quimby, #5)",Beverly Cleary,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1445632007i/89551.jpg,Children
64,And to Think That I Saw It on Mulberry Street,Dr. Seuss,4.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389840830i/28351.jpg,Children
65,Tom's Midnight Garden,Philippa Pearce,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348198004i/543086.jpg,Children
66,All Creatures Great and Small / All Things Bright and Beautiful,James Herriot,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387742367i/32087.jpg,Children
67,The Tale of Tom Kitten,Beatrix Potter,4.08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348742834i/885500.jpg,Children
68,"Born Free: A Lioness of Two Worlds (Story of Elsa, #1)",Joy Adamson,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406563918i/758153.jpg,Children
69,Homer Price,Robert McCloskey,4.08,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348994806i/766917.jpg,Children
70,The Naughtiest Girl in the School,Enid Blyton,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1173855319i/337537.jpg,Children
71,The Yearling,Marjorie Kinnan Rawlings,4.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348480795i/159582.jpg,Children
72,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322.jpg,Children
73,"The Good Earth (House of Earth, #1)",Pearl S. Buck,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312497600i/1078.jpg,Children
74,"Ribsy (Henry, #6)",Beverly Cleary,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564903902i/244422.jpg,Children
75,"Anastasia Krupnik (Anastasia Krupnik, #1)",Lois Lowry,3.88,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476942137i/116494.jpg,Children
76,The Berenstain Bears and Too Much Junk Food,Stan Berenstain,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388208480i/263601.jpg,Children
77,Fantastic Mr. Fox,Roald Dahl,4.06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390097292i/6693.jpg,Children
78,"The Snowy Day (Peter, #1)",Ezra Jack Keats,4.16,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347624377i/310258.jpg,Children
79,The Complete Adventures of Curious George,Margret Rey,4.24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348191831i/808853.jpg,Children
80,National Velvet,Enid Bagnold,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530561613i/225774.jpg,Children
81,The Paper Bag Princess,Robert Munsch,4.32,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386912856i/240130.jpg,Children
82,The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311281900i/543505.jpg,Children
83,Chicken Soup with Rice: A Book of Months,Maurice Sendak,4.25,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388259279i/590552.jpg,Children
84,"The Once and Future King (The Once and Future King, #1-4)",T.H. White,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338741283i/43545.jpg,Children
85,"Hello, Mrs. Piggle-Wiggle (Mrs. Piggle Wiggle, #4)",Betty MacDonald,4.24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924054i/25053.jpg,Children
86,"Ellen Tebbits (Ellen & Otis, #1)",Beverly Cleary,3.95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1171161808i/89548.jpg,Children
87,Pride and Prejudice,Jane Austen,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,Children
88,The Three Billy Goats Gruff,Ellen Rudin,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421429313i/386040.jpg,Children
89,The Sneetches and Other Stories,Dr. Seuss,4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389388191i/105549.jpg,Children
90,"Ozma of Oz (Oz, #3)",L. Frank Baum,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1170538598i/60177.jpg,Children
91,Rebecca,Daphne du Maurier,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327871977i/12873.jpg,Children
92,"My Family and Other Animals (Corfu Trilogy, #1)",Gerald Durrell,4.25,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327885239i/48132.jpg,Children
93,The Story About Ping,Marjorie Flack,4.16,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388193120i/189182.jpg,Children
94,"Days with Frog and Toad (Frog and Toad, #4)",Arnold Lobel,4.25,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389759833i/94804.jpg,Children
95,"The Book of Three (The Chronicles of Prydain, #1)",Lloyd Alexander,3.99,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405184012i/24780.jpg,Children
96,Sadako and the Thousand Paper Cranes,Eleanor Coerr,4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348780305i/181077.jpg,Children
97,"By the Shores of Silver Lake  (Little House, #5)",Laura Ingalls Wilder,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266449666i/8248.jpg,Children
98,Richard Scarry's Best Word Book Ever,Richard Scarry,4.32,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333576379i/820816.jpg,Children
99,Hansel and Gretel,Ian Wallace,4.06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925558i/292701.jpg,Children
100,"The Magic Faraway Tree (The Faraway Tree, #2)",Enid Blyton,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389353760i/74998.jpg,Children
101,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843i/10818853.jpg,Romance
102,Pride and Prejudice,Jane Austen,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,Romance
103,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358259032i/11505797.jpg,Romance
104,"Twilight (Twilight, #1)",Stephenie Meyer,3.59,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443i/41865.jpg,Romance
105,"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,4.06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439792475i/4268157.jpg,Romance
106,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385738917i/15931.jpg,Romance
107,"Outlander (Outlander, #1)",Diana Gabaldon,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529065012i/10964.jpg,Romance
108,"Thoughtless (Thoughtless, #1)",S.C. Stephens,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331254339i/13517535.jpg,Romance
109,Jane Eyre,Charlotte Brontë,4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210.jpg,Romance
110,"Bared to You (Crossfire, #1)",Sylvia Day,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433411511i/20448515.jpg,Romance
111,"Easy (Contours of the Heart, #1)",Tammara Webber,4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349370267i/16056408.jpg,Romance
112,Gone with the Wind,Margaret Mitchell,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405.jpg,Romance
113,"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard,4.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1301789770i/10140661.jpg,Romance
114,"Slammed (Slammed, #1)",Colleen Hoover,4.27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328530463i/13372690.jpg,Romance
115,The Time Traveler's Wife,Audrey Niffenegger,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571i/18619684.jpg,Romance
116,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,4.01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358271931i/6936382.jpg,Romance
117,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381459853i/18660669.jpg,Romance
118,A Walk to Remember,Nicholas Sparks,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498755310i/35545737.jpg,Romance
119,"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429676285i/42899.jpg,Romance
120,Wuthering Heights,Emily Brontë,3.85,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655304i/6185.jpg,Romance
121,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.98,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664.jpg,Romance
122,"The Host (The Host, #1)",Stephenie Meyer,3.84,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1318009171i/1656001.jpg,Romance
123,The Fault in Our Stars,John Green,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206420i/11870085.jpg,Romance
124,"Divergent (Divergent, #1)",Veronica Roth,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328559506i/13335037.jpg,Romance
125,Persuasion,Jane Austen,4.14,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385172413i/2156.jpg,Romance
126,Sense and Sensibility,Jane Austen,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397245675i/14935.jpg,Romance
127,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683.jpg,Romance
128,"Obsidian (Lux, #1)",Jennifer L. Armentrout,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328275091i/12578077.jpg,Romance
129,"Love Unscripted (Love, #1)",Tina Reber,4.02,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327889844i/8204005.jpg,Romance
130,"On the Island (On the Island, #1)",Tracey Garvis Graves,4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339162550i/15505346.jpg,Romance
131,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.77,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409283154i/6068551.jpg,Romance
132,Memoirs of a Geisha,Arthur Golden,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929.jpg,Romance
133,"Hopeless (Hopeless, #1)",Colleen Hoover,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353489892i/15717943.jpg,Romance
134,"On Dublin Street (On Dublin Street, #1)",Samantha Young,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490401910i/15760001.jpg,Romance
135,"Halfway to the Grave (Night Huntress, #1)",Jeaniene Frost,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373855613i/1421990.jpg,Romance
136,The Truth About Forever,Sarah Dessen,4.13,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362767907i/51737.jpg,Romance
137,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533054822i/41014505.jpg,Romance
138,"Reason to Breathe (Breathing, #1)",Rebecca    Donovan,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329013365i/11561469.jpg,Romance
139,Water for Elephants,Sara Gruen,4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494428973i/43641.jpg,Romance
140,Kiss an Angel,Susan Elizabeth Phillips,4.21,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309115033i/73086.jpg,Romance
141,"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1297088239i/73070.jpg,Romance
142,"Flat-Out Love (Flat-Out Love, #1)",Jessica Park,4.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1302831167i/11096647.jpg,Romance
143,"The Edge of Never (The Edge of Never, #1)",J.A. Redmerski,4.24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358810128i/16081272.jpg,Romance
144,"Leaving Paradise (Leaving Paradise, #1)",Simone Elkeles,4.01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388207436i/544424.jpg,Romance
145,Emma,Jane Austen,4.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373627931i/6969.jpg,Romance
146,"Matched (Matched, #1)",Ally Condie,3.66,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367706191i/7735333.jpg,Romance
147,This Lullaby,Sarah Dessen,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397779294i/22205.jpg,Romance
148,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.33,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454962884i/7171637.jpg,Romance
149,"The Vincent Boys (The Vincent Boys, #1)",Abbi Glines,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327184585i/12900174.jpg,Romance
150,Just the Sexiest Man Alive,Julie James,3.93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342552584i/3863861.jpg,Romance
151,"A Kingdom of Dreams (Westmoreland, #1)",Judith McNaught,4.24,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388285802i/129619.jpg,Romance
152,The DUFF: Designated Ugly Fat Friend,Kody Keplinger,3.83,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1271108843i/6931356.jpg,Romance
153,"Something About You (FBI/US Attorney, #1)",Julie James,3.95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327933063i/6642402.jpg,Romance
154,"Significance (Significance, #1)",Shelly Crane,4.11,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434591910i/16282066.jpg,Romance
155,Along for the Ride,Sarah Dessen,4.06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479692098i/5664985.jpg,Romance
156,"The Summer I Turned Pretty (Summer, #1)",Jenny Han,3.93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361666855i/5821978.jpg,Romance
157,"Mystery Man (Dream Man, #1)",Kristen Ashley,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483487036i/12299419.jpg,Romance
158,Romeo and Juliet,William Shakespeare,3.75,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572098085i/18135.jpg,Romance
159,"The Bride (Lairds' Fiancées, #1)",Julie Garwood,4.25,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1334369134i/107779.jpg,Romance
160,"Breathe (Sea Breeze, #1)",Abbi Glines,3.86,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341120438i/11479285.jpg,Romance
161,"Call Me Irresistible (Wynette, Texas, #5)",Susan Elizabeth Phillips,4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327880626i/8437379.jpg,Romance
162,Bet Me,Jennifer Crusie,3.94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316129534i/854757.jpg,Romance
163,Forbidden,Tabitha Suzuma,4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394239949i/7600924.jpg,Romance
164,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310649047i/10429045.jpg,Romance
165,"The Gamble (Colorado Mountain, #1)",Kristen Ashley,4.28,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327890208i/11227041.jpg,Romance
166,Going Too Far,Jennifer Echols,3.92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1276962788i/4570679.jpg,Romance
167,The Sweet Gum Tree,Katherine Allred,4.28,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367119561i/2761356.jpg,Romance
168,Can You Keep a Secret?,Sophie Kinsella,3.84,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330464293i/33724.jpg,Romance
169,"Wallbanger (Cocktail, #1)",Alice Clayton,4.06,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352205960i/15858248.jpg,Romance
170,Naked in Death (In Death #1),J.D. Robb,4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333326143i/479309.jpg,Romance
171,Catching Jordan,Miranda Kenneally,3.86,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327875803i/9888775.jpg,Romance
172,"Natural Born Charmer (Chicago Stars, #7)",Susan Elizabeth Phillips,4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308742575i/73064.jpg,Romance
